onset	duration	map	object_left	object_right	decision	chosen_object	unchosen_object	chosen_value	unchosen_value	response_time	trial_type	button	warning_onset
10.553751582047	2.84938440285623	1	8	7	2	7	8	90.3707077873196	43.594028762536	2.83634862559848	choice	13.4031359849032	NaN
16.3024535882287	2.01614648243412	1	8	7	2	7	8	90.3707077873196	43.594028762536	2.83634862559848	feedback	13.4031359849032	NaN
20.4845608740579	4.89886832563207	1	3	10	2	10	3	4.89356064113839	11.0002740485006	4.88107737083919	choice	25.38342919969	NaN
30.0322846451309	2.01614904240705	1	3	10	2	10	3	4.89356064113839	11.0002740485006	4.88107737083919	feedback	25.38342919969	NaN
32.7648721686564	4.48220920539461	1	7	2	2	2	7	4.89356064113839	90.3707077873196	4.47680827137083	choice	37.247081374051	NaN
40.8294926583767	2.01615000260063	1	7	2	2	2	7	4.89356064113839	90.3707077873196	4.47680827137083	feedback	37.247081374051	NaN
43.6786533824634	11.4805279334541	1	6	9	2	9	6	70.8751717969681	43.594028762536	11.4748870006297	choice	55.1591813159175	NaN
58.5250409997534	2.01614008261822	1	6	9	2	9	6	70.8751717969681	43.594028762536	11.4748870006297	feedback	55.1591813159175	NaN
62.7739172452129	7.3481573688332	1	8	12	1	8	12	43.594028762536	17.884245506376	7.32964801765047	choice	70.1220746140461	NaN
72.8213509374764	2.01619640225545	1	8	12	1	8	12	43.594028762536	17.884245506376	7.32964801765047	feedback	70.1220746140461	NaN
77.8867285437882	9.21430873125792	1	6	1	1	6	1	43.594028762536	0.759511501145757	9.20675388746895	choice	87.1010372750461	NaN
90.150280558737	2.01615096232854	1	6	1	1	6	1	43.594028762536	0.759511501145757	9.20675388746895	feedback	87.1010372750461	NaN
93.5660612829961	2.13283968227915	1	12	6	1	12	6	17.884245506376	43.594028762536	2.11468872940168	choice	95.6989009652752	NaN
98.7147575293202	2.01614616229199	1	12	6	1	12	6	17.884245506376	43.594028762536	2.11468872940168	feedback	95.6989009652752	NaN
102.047243613284	3.59912128420547	1	6	1	2	1	6	0.759511501145757	43.594028762536	3.59104484296404	choice	105.64636489749	NaN
110.211865543155	2.01603320287541	1	6	1	2	1	6	0.759511501145757	43.594028762536	3.59104484296404	feedback	105.64636489749	NaN
113.194411226781	3.8823800846003	1	4	10	1	4	10	14.0261042959477	4.89356064113839	3.86660352046601	choice	117.076791311381	NaN
119.74274907494	2.01614296250045	1	4	10	1	4	10	14.0261042959477	4.89356064113839	3.86660352046601	feedback	117.076791311381	NaN
124.024904520484	2.26616992242634	1	4	10	2	10	4	4.89356064113839	14.0261042959477	2.24880872573704	choice	126.29107444291	NaN
129.373622206738	2.01613912242465	1	4	10	2	10	4	4.89356064113839	14.0261042959477	2.24880872573704	feedback	126.29107444291	NaN
135.838682374451	3.43241232424043	2	4	3	2	3	4	50.2328997724975	1.67308660338568	3.42515539913438	choice	139.271094698692	133.338682374451
143.320082303602	2.01618296233937	2	4	3	2	3	4	50.2328997724975	1.67308660338568	3.42515539913438	feedback	139.271094698692	133.338682374451
148.635282390751	1.38308872119524	2	5	3	1	5	3	2.61214098539182	50.2328997724975	1.36949166632257	choice	150.018371111946	NaN
153.150897195796	2.01615832233801	2	5	3	1	5	3	2.61214098539182	50.2328997724975	1.36949166632257	feedback	150.018371111946	NaN
157.149877040647	5.04877096577547	2	4	10	2	10	4	50.2328997724974	1.67308660338568	5.03261616337113	choice	162.198648006422	NaN
164.23173655197	2.01587089966051	2	4	10	2	10	4	50.2328997724974	1.67308660338568	5.03261616337113	feedback	162.198648006422	NaN
168.713656734442	4.16555024543777	2	7	9	1	7	9	1.88923160081495	19.0043934374881	4.15825236053206	choice	172.87920697988	NaN
175.611850503134	2.01614968245849	2	7	9	1	7	9	1.88923160081495	19.0043934374881	4.15825236053206	feedback	172.87920697988	NaN
179.910818028031	1.39962208201177	2	7	2	2	2	7	16.1621192465339	1.88923160081495	1.3808599319309	choice	181.310440110043	NaN
183.759795072954	2.01619448233396	2	7	2	2	2	7	16.1621192465339	1.88923160081495	1.3808599319309	feedback	181.310440110043	NaN
188.291971078608	4.76548368553631	2	11	4	1	11	4	100	1.67308660338568	4.74731417279691	choice	193.057454764144	NaN
197.156369169476	2.01614584238268	2	11	4	1	11	4	100	1.67308660338568	4.74731417279691	feedback	193.057454764144	NaN
200.972074694	2.41603544307873	2	1	8	2	8	1	16.1621192465339	44.4858066222941	2.40600381116383	choice	203.388110137079	NaN
206.870560621377	2.01615608250722	2	1	8	2	8	1	16.1621192465339	44.4858066222941	2.40600381116383	feedback	203.388110137079	NaN
210.336375985527	5.06535200611688	2	5	3	2	3	5	50.2328997724975	2.61214098539182	5.05441637872718	choice	215.401727991644	NaN
219.933950077044	2.01604952290654	2	5	3	2	3	5	50.2328997724975	2.61214098539182	5.05441637872718	feedback	215.401727991644	NaN
223.133288409561	9.81396400369704	2	10	4	2	4	10	1.67308660338568	50.2328997724974	9.80355445365421	choice	232.947252413258	NaN
237.7126976992	2.01615736237727	2	10	4	2	4	10	1.67308660338568	50.2328997724974	9.80355445365421	feedback	232.947252413258	NaN
242.194941784255	3.06586496392265	2	9	2	1	9	2	19.0043934374881	16.1621192465339	3.05417734012008	choice	245.260806748178	NaN
247.476934030652	2.01599672343582	2	9	2	1	9	2	19.0043934374881	16.1621192465339	3.05417734012008	feedback	245.260806748178	NaN
253.458716518246	4.04895912506618	1	10	2	2	2	10	4.89356064113839	4.89356064113839	4.0311422504019	choice	257.507675643312	250.958716518246
261.87324028858	2.01613656245172	1	10	2	2	2	10	4.89356064113839	4.89356064113839	4.0311422504019	feedback	257.507675643312	250.958716518246
264.755817492027	2.91592520358972	1	3	12	2	12	3	17.884245506376	11.0002740485006	2.90601997124031	choice	267.671742695617	NaN
270.237770378822	2.01614104234613	1	3	12	2	12	3	17.884245506376	11.0002740485006	2.90601997124031	feedback	267.671742695617	NaN
273.636941902805	4.63210160587914	1	1	8	1	1	8	0.759511501145757	43.594028762536	4.61885238951072	choice	278.269043508684	NaN
282.867891514208	2.01613720250316	1	1	8	1	1	8	0.759511501145757	43.594028762536	4.61885238951072	feedback	278.269043508684	NaN
286.8502346389	3.91564040491357	1	6	10	1	6	10	43.594028762536	4.89356064113839	3.90489357663319	choice	290.765875043813	NaN
294.464842888759	2.01624120213091	1	6	10	1	6	10	43.594028762536	4.89356064113839	3.90489357663319	feedback	290.765875043813	NaN
298.18064073287	6.1317715276964	1	8	4	2	4	8	14.0261042959477	43.594028762536	6.12142341723666	choice	304.312412260566	NaN
306.428585462738	2.01612344267778	1	8	4	2	4	8	14.0261042959477	43.594028762536	6.12142341723666	feedback	304.312412260566	NaN
309.594478106592	7.01481240894645	1	12	9	2	9	12	70.8751717969681	17.884245506376	7.00253566773608	choice	316.609290515538	NaN
318.858764837962	2.01610488281585	1	12	9	2	9	12	70.8751717969681	17.884245506376	7.00253566773608	feedback	316.609290515538	NaN
321.791313961847	1.91618024231866	1	3	4	1	3	4	11.0002740485006	14.0261042959477	1.89683857513592	choice	323.707494204165	NaN
327.62316052895	2.0161439224612	1	3	4	1	3	4	11.0002740485006	14.0261042959477	1.89683857513592	feedback	323.707494204165	NaN
331.855337654473	2.7496204492636	1	8	10	1	8	10	43.594028762536	4.89356064113839	2.74390650913119	choice	334.604958103737	NaN
337.470687980764	2.01611384260468	1	8	10	1	8	10	43.594028762536	4.89356064113839	2.74390650913119	feedback	334.604958103737	NaN
341.06972702546	2.86594080342911	1	7	9	1	7	9	90.3707077873196	70.8751717969681	2.85917507577688	choice	343.93566782889	NaN
347.134769913042	2.01626552199014	1	7	9	1	7	9	90.3707077873196	70.8751717969681	2.85917507577688	feedback	343.93566782889	NaN
349.850833676057	2.8992472034879	1	9	4	2	4	9	14.0261042959477	70.8751717969681	2.89014292741194	choice	352.750080879545	NaN
355.11616040254	2.01614968245849	1	9	4	2	4	9	14.0261042959477	70.8751717969681	2.89014292741194	feedback	352.750080879545	NaN
361.097962729866	2.88264568336308	2	1	11	1	1	11	44.4858066222941	100	2.86903614853509	choice	363.980608413229	358.597962729866
367.596318737604	2.01614488265477	2	1	11	1	1	11	44.4858066222941	100	2.86903614853509	feedback	363.980608413229	358.597962729866
373.061670104042	1.91609576274641	2	8	3	1	8	3	16.1621192465339	50.2328997724975	1.90268334699795	choice	374.977765866788	NaN
379.093399871606	2.01613336266018	2	8	3	1	8	3	16.1621192465339	50.2328997724975	1.90268334699795	feedback	374.977765866788	NaN
383.175591797102	1.3830916013103	2	2	11	2	11	2	100	16.1621192465339	1.37468972150236	choice	384.558683398413	NaN
388.79096356337	2.01617144234478	2	2	11	2	11	2	100	16.1621192465339	1.37468972150236	feedback	384.558683398413	NaN
393.656268849969	2.11620168224908	2	11	1	2	1	11	44.4858066222941	100	2.10935211507604	choice	395.772470532218	NaN
397.92196517461	2.01610776269808	2	11	1	2	1	11	44.4858066222941	100	2.10935211507604	feedback	395.772470532218	NaN
402.037555339746	1.26633376162499	2	8	2	2	2	8	16.1621192465339	16.1621192465339	1.25475653726608	choice	403.303889101371	NaN
406.369774545077	2.0161474426277	2	8	2	2	2	8	16.1621192465339	16.1621192465339	1.25475653726608	feedback	403.303889101371	NaN
410.635429590009	2.16604912304319	2	5	8	1	5	8	2.61214098539182	16.1621192465339	2.16202130215243	choice	412.801478713052	NaN
417.533634238644	2.01615448249504	2	5	8	1	5	8	2.61214098539182	16.1621192465339	2.16202130215243	feedback	412.801478713052	NaN
421.84921224392	1.44957960187458	2	8	9	2	9	8	19.0043934374881	16.1621192465339	1.44312587287277	choice	423.298791845795	NaN
425.664897288429	2.01611064281315	2	8	9	2	9	8	19.0043934374881	16.1621192465339	1.44312587287277	feedback	423.298791845795	NaN
429.663764173863	1.44971112138592	2	3	11	1	3	11	50.2328997724975	100	1.43072401266545	choice	431.113475295249	NaN
434.19594145962	2.01623608195223	2	3	11	1	3	11	50.2328997724975	100	1.43072401266545	feedback	431.113475295249	NaN
439.694538106211	1.99956544209272	2	1	7	2	7	1	1.88923160081495	44.4858066222941	1.99382850970142	choice	441.694103548303	NaN
444.543405391742	2.01614136248827	2	1	7	2	7	1	1.88923160081495	44.4858066222941	1.99382850970142	feedback	441.694103548303	NaN
448.308995636879	1.74965848168358	2	3	2	2	2	3	16.1621192465339	50.2328997724975	1.73782109841704	choice	450.058654118562	NaN
452.224762761267	2.01620568218641	2	3	2	2	2	3	16.1621192465339	50.2328997724975	1.73782109841704	feedback	450.058654118562	NaN
458.223241808591	8.19791073002852	1	4	1	1	4	1	14.0261042959477	0.759511501145757	8.178335463861	choice	466.42115253862	455.723241808591
470.436854223255	2.01608568266965	1	4	1	1	4	1	14.0261042959477	0.759511501145757	8.178335463861	feedback	466.42115253862	455.723241808591
475.435421589995	2.31618408230133	1	7	2	2	2	7	4.89356064113839	90.3707077873196	2.30155311245471	choice	477.751605672296	NaN
480.500952795381	2.0161535225343	1	7	2	2	2	7	4.89356064113839	90.3707077873196	2.30155311245471	feedback	477.751605672296	NaN
483.450150799239	7.13152288878337	1	12	6	1	12	6	17.884245506376	43.594028762536	7.12260293168947	choice	490.581673688022	NaN
493.54757497157	2.01616088254377	1	12	6	1	12	6	17.884245506376	43.594028762536	7.12260293168947	feedback	490.581673688022	NaN
498.146333697718	3.71578376414254	1	3	9	2	9	3	70.8751717969681	11.0002740485006	3.71056426921859	choice	501.86211746186	NaN
506.81087194779	2.01619160245173	1	3	9	2	9	3	70.8751717969681	11.0002740485006	3.71056426921859	feedback	501.86211746186	NaN
512.259487394476	4.31555592524819	1	7	3	1	7	3	90.3707077873196	11.0002740485006	4.31019051116891	choice	516.575043319725	NaN
519.307699003024	2.01614360255189	1	7	3	1	7	3	90.3707077873196	11.0002740485006	4.31019051116891	feedback	516.575043319725	NaN
522.023662926396	1.71622792212293	1	10	2	1	10	2	4.89356064113839	4.89356064113839	1.70773260295391	choice	523.739890848519	NaN
528.605318374466	2.01604888308793	1	10	2	1	10	2	4.89356064113839	4.89356064113839	1.70773260295391	feedback	523.739890848519	NaN
533.754007260781	1.74955256213434	1	2	3	1	2	3	4.89356064113839	11.0002740485006	1.73667870392092	choice	535.503559822915	NaN
537.969604945974	2.01614840235561	1	2	3	1	2	3	4.89356064113839	11.0002740485006	1.73667870392092	feedback	535.503559822915	NaN
543.418108393205	3.6491719239857	1	1	4	2	4	1	14.0261042959477	0.759511501145757	3.63089681160636	choice	547.067280317191	NaN
551.299434082815	2.0163068016991	1	1	4	2	4	1	14.0261042959477	0.759511501145757	3.63089681160636	feedback	547.067280317191	NaN
554.781996246427	1.416334961541	1	2	6	2	6	2	43.594028762536	4.89356064113839	1.41091258754022	choice	556.198331207968	NaN
559.697408492444	2.01616120245308	1	2	6	2	6	2	43.594028762536	4.89356064113839	1.41091258754022	feedback	556.198331207968	NaN
564.44620265835	5.51525992667302	1	2	7	1	2	7	4.89356064113839	90.3707077873196	5.51065578870475	choice	569.961462585023	NaN
574.760295550572	2.01609368273057	1	2	7	1	2	7	4.89356064113839	90.3707077873196	5.51065578870475	feedback	569.961462585023	NaN
579.725636837073	2.03283408237621	2	9	7	1	9	7	19.0043934374881	1.88923160081495	2.01824087230489	choice	581.758470919449	577.225636837073
584.441117562586	2.01617720234208	2	9	7	1	9	7	19.0043934374881	1.88923160081495	2.01824087230489	feedback	581.758470919449	577.225636837073
587.840285246726	3.56575664435513	2	11	5	1	11	5	100	2.61214098539182	3.54516666312702	choice	591.406041891081	NaN
595.171714695869	2.01606392278336	2	11	5	1	11	5	100	2.61214098539182	3.54516666312702	feedback	591.406041891081	NaN
600.153771742014	2.21609688270837	2	8	5	2	5	8	2.61214098539182	16.1621192465339	2.21123514603823	choice	602.369868624723	NaN
604.98587558791	2.01618936215527	2	8	5	2	5	8	2.61214098539182	16.1621192465339	2.21123514603823	feedback	602.369868624723	NaN
609.551302633714	1.74967096163891	2	11	7	2	7	11	1.88923160081495	100	1.74153180071153	choice	611.300973595353	NaN
613.400403198088	2.0161416826304	2	11	7	2	7	11	1.88923160081495	100	1.74153180071153	feedback	611.300973595353	NaN
616.94951096247	1.21634136140347	2	11	9	2	9	11	19.0043934374881	100	1.20876571792178	choice	618.165852323873	NaN
621.881576248445	2.01615096256137	2	11	9	2	9	11	19.0043934374881	100	1.20876571792178	feedback	618.165852323873	NaN
627.463496975368	7.74801432946697	2	7	11	1	7	11	1.88923160081495	100	7.73050305340439	choice	635.211511304835	NaN
638.96056146943	2.01619320223108	2	7	11	1	7	11	1.88923160081495	100	7.73050305340439	feedback	635.211511304835	NaN
641.926470432896	1.2830136816483	2	4	11	1	4	11	1.67308660338568	100	1.26242914050817	choice	643.209484114544	NaN
647.72500963998	2.01618232228793	2	4	11	1	4	11	1.67308660338568	100	1.26242914050817	feedback	643.209484114544	NaN
653.073684446281	2.29936464317143	2	9	1	2	1	9	44.4858066222941	19.0043934374881	2.28340311977081	choice	655.373049089452	NaN
658.988846133696	2.01610040268861	2	9	1	2	1	9	44.4858066222941	19.0043934374881	2.28340311977081	feedback	655.373049089452	NaN
664.137531499844	1.76617552246898	2	7	9	2	9	7	19.0043934374881	1.88923160081495	1.74942232272588	choice	665.903707022313	NaN
670.485858788015	2.01616856222972	2	7	9	2	9	7	19.0043934374881	1.88923160081495	1.74942232272588	feedback	665.903707022313	NaN
673.651772551471	2.46600288315676	2	10	3	2	3	10	50.2328997724975	50.2328997724974	2.45337958377786	choice	676.117775434628	NaN
679.333646398503	2.01612824271433	2	10	3	2	3	10	50.2328997724975	50.2328997724974	2.45337958377786	feedback	676.117775434628	NaN
684.082399604609	3.4158008841332	1	10	12	2	12	10	17.884245506376	4.89356064113839	3.40865115844645	choice	687.498200488742	681.582399604609
