onset	duration	map	object_left	object_right	decision	chosen_object	unchosen_object	chosen_value	unchosen_value	response_time	trial_type	button	warning_onset
10.5613817430567	11.9469847928267	2	3	4	1	3	4	50.2328997724975	1.67308660338568	11.935299066361	choice	22.5083665358834	NaN
25.5575667142402	2.01615515328012	2	3	4	1	3	4	50.2328997724975	1.67308660338568	11.935299066361	feedback	22.5083665358834	NaN
28.4901960282587	3.91567384265363	2	10	8	1	10	8	50.2328997724974	16.1621192465339	3.89905053074472	choice	32.4058698709123	NaN
37.287986370502	2.01617691339925	2	10	8	1	10	8	50.2328997724974	16.1621192465339	3.89905053074472	feedback	32.4058698709123	NaN
42.2867230142001	4.41551208333112	2	9	1	1	9	1	19.0043934374881	44.4858066222941	4.40806026477367	choice	46.7022350975312	NaN
49.2516181552783	2.0161561134737	2	9	1	1	9	1	19.0043934374881	44.4858066222941	4.40806026477367	feedback	46.7022350975312	NaN
52.9173256780487	3.68240923457779	2	1	9	1	1	9	44.4858066222941	19.0043934374881	3.66586912237108	choice	56.5997349126264	NaN
59.5990155548789	2.01615035347641	2	1	9	1	1	9	44.4858066222941	19.0043934374881	3.66586912237108	feedback	56.5997349126264	NaN
64.164531046059	2.04947921750136	2	8	9	1	8	9	16.1621192465339	19.0043934374881	2.03539157798514	choice	66.2140102635603	NaN
69.5298285540193	2.01602267380804	2	8	9	1	8	9	16.1621192465339	19.0043934374881	2.03539157798514	feedback	66.2140102635603	NaN
73.4288170048967	2.91596376197413	2	11	5	2	5	11	2.61214098539182	100	2.91066393721849	choice	76.3447807668708	NaN
80.7935186745599	2.01632027304731	2	11	5	2	5	11	2.61214098539182	100	2.91066393721849	feedback	76.3447807668708	NaN
84.3260797008406	2.18276843358763	2	4	5	1	4	5	1.67308660338568	2.61214098539182	2.17093966761604	choice	86.5088481344283	NaN
88.858264088165	2.01615323335864	2	4	5	1	4	5	1.67308660338568	2.61214098539182	2.17093966761604	feedback	86.5088481344283	NaN
