onset	duration	object	trial_type	map	stayswitch	distance	value	counterfactual_value	value_diff	choicetype	object1	object2	chosen_distance	unchosen_distance	chosen_value	unchosen_value	counterfactual_chosen_value	counterfactual_unchosen_value	button	response_time	cr
8.776755948551	2.01620156900026	2	object_onset	1	n/a	NaN	NaN	NaN	NaN	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14.6586534553207	3.03253625752404	2	choice	1	n/a	NaN	NaN	NaN	NaN	d	1	10	0.524785670536077	1.26	4.13404913999263	1.77635683940025e-15	28.3236873757602	34.0707805259635	17.6747273444198	3.01607388909906	1
21.8068106109276	2.01616316894069	3	object_onset	2	switch	0.36	50	11	39	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27.4722832532134	2.01596060930751	2	object_onset	2	stay	0.36	16	5	11	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.5202854010276	2.01607644907199	8	object_onset	1	switch	1.20747670784989	44	16	28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39.8356089554727	2.0162441288121	7	object_onset	2	switch	0.524785670536077	2	90	-88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45.1509849899448	2.01613308908418	8	object_onset	1	switch	0.524785670536077	44	16	28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50.2163154245354	2.01616252912208	2	object_onset	1	stay	1.20747670784989	5	16	-11	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
57.9143252845388	2.01625532866456	7	object_onset	1	stay	1.27914033631967	90	2	88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
64.9792969997507	2.01616892893799	12	object_onset	1	stay	0.9	18	72	-54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
69.5114892579149	2.08282192097977	12	choice	1	n/a	NaN	NaN	NaN	NaN	d	8	1	0.524785670536077	0.763675323681471	25.7097832561599	17.1247340052303	56.1629049914503	27.8392176156901	71.5657803537324	2.05429109581746	1
75.0434111165814	2.01615036907606	3	object_onset	2	switch	0.458911756223351	50	11	39	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
79.9255444628652	10.9638906293549	3	choice	2	n/a	NaN	NaN	NaN	NaN	d	2	9	0.36	0.648999229583518	34.0707805259635	31.2285063350093	6.10671340736224	59.8748977484675	90.8778053545393	10.9522608916741	1
96.6713203110266	2.01615452906117	9	object_onset	2	stay	0.648999229583518	19	71	-52	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
102.469852217706	2.01616284903139	11	object_onset	2	stay	0.814984662432368	100	3	97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
107.935009084642	2.01626012893394	4	object_onset	2	stay	1.27914033631967	2	14	-12	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
113.133803582983	2.0161986888852	2	object_onset	1	switch	0.569209978830308	5	16	-11	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
119.648838434136	2.01618588902056	6	object_onset	1	stay	0.524785670536077	44	13	31	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
124.747558884555	2.01613788912073	7	object_onset	2	switch	0.763675323681471	2	90	-88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
129.829662086908	2.01609852910042	2	object_onset	2	stay	1.27914033631967	16	5	11	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
137.311078762636	2.01616060896777	6	object_onset	1	switch	0.524785670536077	44	13	31	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
143.309533485677	2.0161830089055	7	object_onset	1	stay	0.763675323681471	90	2	88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
148.991440656362	2.01618172903545	5	object_onset	1	stay	0.569209978830308	71	3	68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
155.973048691638	2.01612380915321	4	object_onset	2	switch	0.524785670536077	2	14	-12	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
162.471377974842	2.0161574089434	9	object_onset	2	stay	0.9	19	71	-52	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
168.303277177736	2.0161222089082	12	object_onset	1	switch	0.458911756223351	18	72	-54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
173.818519068416	2.0161478088703	8	object_onset	2	switch	0.524785670536077	16	44	-28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
178.833947198698	2.01616412890144	10	object_onset	2	stay	0.569209978830308	50	5	45	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184.849064929644	2.01616124901921	9	object_onset	2	stay	0.763675323681471	19	71	-52	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
190.31435811636	2.01615676889196	10	object_onset	2	stay	0.763675323681471	50	5	45	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
194.446558182593	10.7473982449155	10	choice	2	n/a	NaN	NaN	NaN	NaN	d	4	5	1.27914033631967	1.53792067415716	47.6207587871056	48.5598131691118	65.9816111558298	9.13254365480929	205.176380781224	10.7298225986306	1
208.97631684551	2.01615932886489	3	object_onset	2	stay	0.9	50	11	39	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
214.40831985604	2.01616700878367	1	object_onset	1	switch	0.458911756223351	1	44	-43	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
218.957172562135	3.14921539346687	1	choice	1	n/a	NaN	NaN	NaN	NaN	d	4	7	1.08747413762351	1.53792067415716	13.2665927948019	89.6111962861739	42.8127200189084	42.5965750214792	222.09208174306	3.1349091809243	1
227.804917494534	2.01615804899484	3	object_onset	1	stay	0.458911756223351	11	50	-39	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
235.453025370138	2.0160332492087	7	object_onset	2	switch	1.08747413762351	2	90	-88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
242.734492349671	2.01614236901514	12	object_onset	1	switch	0.9	18	72	-54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
248.149793952238	2.01618940895423	10	object_onset	1	stay	0.458911756223351	5	50	-45	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
255.447952419752	2.01618972909637	4	object_onset	2	switch	1.53792067415716	2	14	-12	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
261.496424966725	2.01615612907335	1	object_onset	2	stay	1.08747413762351	44	1	43	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
267.761515977792	2.01604348933324	3	object_onset	1	switch	0.458911756223351	11	50	-39	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
272.576969772112	5.6652352027595	3	choice	1	n/a	NaN	NaN	NaN	NaN	d	12	9	0.458911756223351	0.648999229583518	6.8839714578754	59.8748977484675	22.0921244654867	31.2285063350093	278.23288947274	5.65591970062815	1
282.107940912712	2.0161513290368	11	object_onset	2	switch	0.524785670536077	100	3	97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
289.755969108548	2.01619580877014	8	object_onset	2	stay	0.853814968245462	16	44	-28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
294.088237910531	2.79931398527697	8	choice	2	n/a	NaN	NaN	NaN	NaN	d	2	10	0.569209978830308	1.20747670784989	34.0707805259635	0	38.7004681213976	38.7004681213976	296.881500707474	2.79326279694214	1
302.286174490582	2.01616700878367	11	object_onset	1	switch	0.853814968245462	3	100	-97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
308.667874557665	2.0161577288527	11	object_onset	2	switch	0	100	3	97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
315.899375873152	2.01616188883781	11	object_onset	2	stay	0	100	3	97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
321.048121507512	2.01615260890685	1	object_onset	2	stay	0.569209978830308	44	1	43	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
325.963551429799	2.01615868904628	10	object_onset	1	switch	1.08747413762351	5	50	-45	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
333.578268329613	2.01610428909771	8	object_onset	1	stay	0.569209978830308	44	16	28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
339.776709228754	2.01615932886489	8	object_onset	1	stay	0	44	16	28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
345.691942991456	2.01614332897589	6	object_onset	1	stay	0.814984662432368	44	13	31	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
351.00724030612	11.780365221668	6	choice	1	n/a	NaN	NaN	NaN	NaN	d	3	7	0.458911756223351	0.763675323681471	32.5937547140354	46.7766790247836	37.0335154537144	11.3101527179681	362.772345717065	11.7651054109447	1
367.103185081854	2.01612796890549	5	object_onset	1	stay	0.36	71	3	68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
374.767912125448	2.01616124901921	1	object_onset	2	switch	1.26	44	1	43	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
379.716673183953	10.1640998448711	1	choice	2	n/a	NaN	NaN	NaN	NaN	d	6	5	0.9	1.26	31.2864223035111	41.8736656369023	42.8345172613902	70.1156602958224	389.874847280327	10.1581740963738	1
394.146333478857	2.01622460898943	1	object_onset	1	switch	0	1	44	-43	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
401.111257066252	2.01616028905846	10	object_onset	2	switch	1.08747413762351	50	5	45	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
406.259986060672	2.01618716889061	12	object_onset	2	stay	0.458911756223351	72	18	54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
411.275393391261	2.01615452882834	5	object_onset	2	stay	0.9	3	71	-68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
415.674186225515	8.28123498009518	5	choice	2	n/a	NaN	NaN	NaN	NaN	d	12	1	0.9	1.26	69.7128832525924	41.8736656369023	52.9909262905921	70.1156602958224	423.9349678047	8.26078157918528	1
426.838164150715	2.01612924900837	6	object_onset	2	stay	0.36	13	44	-31	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
432.403402425349	2.01615484897047	5	object_onset	1	switch	0.36	71	3	68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
437.268797563855	2.01621436886489	6	object_onset	2	switch	0.36	13	44	-31	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
442.800778622506	2.01615548902191	8	object_onset	1	switch	0.814984662432368	44	16	28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
447.849473568844	2.01615612907335	4	object_onset	1	stay	1.26	14	2	12	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454.997594884597	2.01624252879992	11	object_onset	1	stay	1.27914033631967	3	100	-97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
462.779049064266	2.01615580893122	5	object_onset	2	switch	1.20747670784989	3	71	-68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
469.91057169158	2.0161708490923	11	object_onset	2	stay	1.20747670784989	100	3	97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
